a art.一(个)；每一(个)
patch	n.片,补缀,碎片,斑纹,斑点,小块地,眼罩,傻瓜;vt.修补,补缀,掩饰,平息
patent	n.专利权,执照,专利品;adj.特许的,专利的,显著的,明白的,新奇的;vt.取得...的专利权,请准专利
pathetic	adj.可怜的,悲惨的
patience	n.耐性,忍耐
patient	n.病人,患者;adj.忍耐的,耐心的
patriot	n.爱国者
patriotic	adj.爱国的,有爱国心的
patrol	v.出巡,巡逻;n.巡逻
patron	n.(对某人,某种目标,艺术等)赞助人,资助人
pattern	n.模范,式样,模式,样品,格调,图案;vt.模仿,仿造,以图案装饰;vi.形成图案
pave	v.铺
paw	n.手掌,手爪;v.以蹄扒地,抓,笨拙地使用,费力地前进,(人)用手笨拙地摸;abbr.[军]Plasma-ArcWelding,等离子弧焊
payment	n.付款,支付,报酬,偿还,报应,惩罚
pea	n.豌豆
peak	n.山顶,顶点,帽舌,(记录的)最高峰;adj.最高的;vi.到达最高点,消瘦,缩小;vt.使竖起,使达到最高点
pearl	n.珍珠
peculiar	adj.奇特的,罕见的,特殊的;n.特有财产,特权
pedal	n.踏板;v.踩...的踏板
pedestrian	n.步行者;adj.徒步的,呆板的,通俗的
peel	v.剥,削,剥落
peer	n.同等的人,贵族;vi.凝视,窥视;vt.与...同等,封为贵族
peg	n.钉,栓,桩,销子,借口;vt.钉木钉,固定,限制;vi.坚持不懈地工作
penalty	n.处罚,罚款
pendulum	n.钟摆,摇锤
penetrate	vt.穿透,渗透,看穿,洞察;vi.刺入,看穿,渗透,弥漫
penguin	n.企鹅
peninsula	n.半岛
pension	n.养老金,退休金
pepper	n.胡椒粉
per	prep.每,每一,由,经
perceive	vt.察觉;v.感知,感到,认识到
percentage	n.百分数,百分率,百分比
perception	n.理解,感知,感觉,DPS公司出的数字影像压缩卡
perfection	n.尽善尽美,完美,完成
perform	vt.履行,执行,表演,演出;v.完成任务
performance	n.履行,执行,成绩,性能,表演,演奏
perfume	n.香味,芳香,香水;vt.使发香,洒香水于,发香味
periodic	adj.周期的,定期的
periodical	adj.周期的,定期的;n.期刊,杂志
perish	vi.毁灭,死亡,腐烂,枯萎;vt.毁坏,使麻木
permanent	adj.永久的,持久的
permeate	vt.弥漫,渗透,透过,充满;vi.透入
permissible	adj.可允许的
permission	n.许可,允许
perpetual	adj.永久的
perplex	v.困惑
persist	vi.坚持,持续
persistent	adj.持久稳固的
personality	n.个性,人格,人物,名人,(用复数)诽谤、人身攻击
personnel	n.人员,职员
perspective	n.透视画法,透视图,远景,前途,观点,看法,观点,观察
persuasion	n.说服,说服力
pessimistic	adj.悲观的,厌世的
pest	n.有害物
petition	n.请愿,情愿书,诉状,陈情书;v.请求,恳求,请愿
petrol	n.<英>汽油（=<美>gasoline）
petroleum	n.石油
petty	adj.小的,不重要的,小规模的,小型的,细微的,小器的,卑鄙的
phase	n.阶段,状态,相,相位;v.定相
phenomenon	n.现象
philosopher	n.哲学家,哲人
philosophy	n.哲学,哲学体系,达观,冷静
physical	adj.身体的,物质的,自然的,物理的;n.体格检查
physician	n.医师,内科医师
physicist	n.物理学者,唯物论者
physiological	adj.生理学的,生理学上的
pierce	vt.刺穿,刺破,穿透,突破,深深感动
pigeon	n.鸽子
pilgrim	n.圣地朝拜者,朝圣
pill	n.药丸,口服避孕药,弹丸
pillar	n.[建]柱子,栋梁,重要的支持者
pillow	n.枕头,枕垫
pilot	n.飞行员,领航员,引水员;vt.驾驶(飞机等),领航,引水;v.驾驶
pinch	n.捏,撮,收缩,紧急关头,匮乏,压力;vt.掐,夹痛,修剪,勒索,使感缺乏,使萎缩,偷;vi.收缩,节省
pine	n.松树,树木;v.消瘦,憔悴,渴望,渴慕
pint	n.品脱
pirate	n.海盗,盗印者,盗版者,侵犯专利权者;vt.盗印,盗版,掠夺,翻印;vi.做海盗
pistol	n.手枪
pit	n.深坑,深渊,陷阱,(物体或人体表面)凹陷,(英国剧场的)正厅后排,正厅后排观众;vt.窖藏,使凹下,去...之核,使留疤痕,使竞争;vi.起凹点,凹陷
pitch	n.程度,斜度,树脂,投掷,定调,船前后颠簸,沥青;vt.投,掷,向前倾,定位于,用沥青涂,扎营;vi.搭篷,投掷,坠落,倾斜
plague	n.瘟疫,麻烦,苦恼,灾祸;vt.折磨,使苦恼,使得灾祸
planet	n.[天]行星
plantation	n.耕地,种植园,大农场,森林,人造林,殖民
plaster	n.石膏,灰泥,膏药,橡皮膏;vt.涂以灰泥,敷以膏药,减轻,粘贴,重创
plastic	n.塑胶,可塑体,塑料制品,整形;adj.塑胶的,塑造的,有可塑性的,造形的,(外科)整形的
plateau	n.高地,高原(上升后的)稳定水平(或时期、状态)
platform	n.(车站)月台,讲台,讲坛;平台
plausible	adj.似是而非的
plea	n.恳求,请求,辩解,藉口
pled	vbl.plead的过去式及过去分词
pledge	n.保证,誓言,抵押,抵押品;vt.保证,使发誓,抵押,典当,举杯祝...健康
plentiful	adj.许多的,大量的,丰富的,丰饶的
plot	n.小块土地,地区图,图,秘密计划(特指阴谋),(小说的)情节.结构;vt.划分,绘图,密谋;vi.密谋,策划
plug	vt.堵,塞,插上,插栓;n.塞子,插头,插销
plunge	n.跳进,投入;vi.投入,跳进,陷入;vt.使投入,使插入,使陷入
plural	adj.复数的
plus	prep.加上;adj.正的,加的
poem	n.诗,象诗一样,美丽的东西
poet	n.诗人
poetry	n.诗,作诗法,诗意,诗情
poison	n.毒药,败坏道德之事,毒害;vt.毒害,败坏,使中毒;vi.放毒,下毒
poisonous	adj.有毒的
poke	n.刺,戳,懒汉,袋子;vt.戳,捅,拨开,刺;vi.戳,刺,捅,伸出,刺探,闲荡
polar	adj.[天]两极的,极地的,南辕北辙的,南极的,(北极星似的)指引的,极性的,北极的;n.极线,极面
pole	n.棒,柱,杆,竿,极,磁极,电极;vt.用竿支撑,用棒推;vi.撑篙
policy	n.政策,方针
polish	n.磨光,光泽,上光剂,优雅,精良;vt.擦亮,发亮,磨光,推敲;vi.发亮,变光滑;adj.波兰的;n.波兰人
politician	n.政治家,政客
politics	n.政治,政治学,政纲,政见
poll	n.选举之投票,民意测验;v.投票,获得选票,选举中获得
pollute	vt.弄脏,污染
pollution	n.污染,玷污
pond	n.池塘;v.筑成池塘
ponder	v.沉思,考虑
pope	n.罗马教皇,主教,蒲柏(1688-1744,英国诗人),大腿上要害部位;vt.打大腿上要害部位
porch	n.门廊,走廊
pore	n.毛孔,小孔,气孔;vi.熟读,凝视,细想,沉思;vt.因凝视过度使...疲劳
portable	adj.轻便的,手提(式)的,便携式的
porter	n.守门人,门房,行李搬运工
portion	n.一部分,一分
portrait	n.肖像,人像
portray	v.描绘
pose	n.姿势,姿态;v.(使...)摆好姿势,形成,引起,造成;vi.摆姿势,佯装,矫揉造作
positive	adj.肯定的,实际的,积极的,绝对的,确实的;adj.[数]正的;adj.[电]阳的;adj.[语法]原级的
possess	vt.占有,拥有,持有,摆布,支配
possession	n.拥有,占有,所有,着迷,领土,领地,财产(常用复数),自制
possibility	n.可能性,可能发生的事物
postage	n.邮资
postpone	vt.推迟,使延期,延迟
posture	n.(身体的)姿势,体态,状态,情况,心境,态度;v.令取某种姿势,摆姿势,作出姿态
potential	adj.潜在的,可能的,势的,位的;n.潜能,潜力,电压
pour	v.灌注,倾泻,涌入,流,倾盆大雨
poverty	n.贫穷,贫困,贫乏,缺少
powder	n.粉,粉末,火药,尘土;vt.搽粉于,撒粉,使成粉末;vi.搽粉,变成粉末
powerful	adj.强大的,有力的
practicable	adj.能实行的,行得通的,可以实行的
practically	adv.实际上,事实上,在实践上;adv.几乎,简直
pray	v.祈祷,恳求,请
prayer	n.祈祷
preach	v.鼓吹
precaution	n.预防,警惕,防范
precede	v.领先(于),在...之前,先于
precedent	n.先例
preceding	adj.在前的,前述的
precious	adj.宝贵的,贵重的,珍爱的,过于精致的,珍爱的
precise	adj.精确的,准确的;n.精确
precision	n.精确,精密度,精度
preclude	n.排除
predecessor	n.前辈,前任,(被取代的)原有事物
predict	v.预知,预言,预报
predominant	adj.卓越的,支配的,主要的,突出的,有影响的
preface	n.序文,绪言,前言;vi.作序,写前言;vt.为...写序言,开始
preferable	adj.更可取的,更好的,更优越的
preference	n.偏爱,优先选择
pregnant	adj.怀孕的,重要的,富有意义的,孕育的
prejudice	n.偏见,成见,损害,侵害;v.损害
preliminary	adj.预备的,初步的
premature	adj.未成熟的,太早的,早熟的
premier	adj.第一的,首要的;n.总理
premise	n.[逻][法]前提,(企业,机构等使用的)房屋连地基;vt.提论,预述,假定;vi.作出前提
premium	n.额外费用,奖金,奖赏,保险费,(货币兑现的)贴水
preparation	n.准备,预备
preposition	n.前置词
prescribe	v.指示,规定,处(方),开(药)
prescription	n.指示,规定,命令,处方,药方
presence	n.出席,到场,存在
presentation	n.介绍,陈述,赠送,表达
presently	adv.目前,不久
preserve	vt.保护,保持,保存,保藏;vi.做蜜饯,禁猎;n.蜜饯,果酱,禁猎地,禁区,防护物
preside	v.主持
pressure	n.压,压力,电压,压迫,强制,紧迫
prestige	n.声望,威望,威信
presumably	adv.推测起来,大概
presume	vt.假定,假设,认为
pretend	vt.假装,装扮,(作为藉口或理由)伪称
pretext	n.借口,托辞;v.借口
prevail	vi.流行,盛行,获胜,成功
prevalent	adj.普遍的,流行的
preview	adj.在前的,早先的;adv.在...以前;返回上一级菜单
previous	n.事先查看,[计]预览;vt.事先查看,预展,预演
prey	n.被掠食者,牺牲者,掠食;vi.捕食,掠夺,折磨
priest	n.牧师
primarily	adv.首先,起初,主要地,根本上
primary	adj.第一位的,主要的,初步的,初级的,原来的,根源的
prime	n.最初,青春,精华;adj.主要的,最初的,有青春活力的,最好的,第一流的,根本的,[数]素数的;v.预先准备好,<口>让人吃(喝)足,灌注,填装
primitive	adj.原始的,远古的,粗糙的,简单的
principal	n.负责人,首长,校长,主犯,本金;adj.主要的,首要的
principle	n.法则,原则,原理
prior	adj.优先的,在前的;n.预先;adv.在
priority	n.先,前,优先,优先权
privacy	n.独处而不受干扰,秘密
private	adj.私人的,私有的,私营的,秘密的;n.士兵
privilege	n.特权,特别待遇,基本公民权力,特免;vt.给与...特权,特免
probability	n.可能性,或然性,概率
probable	adj.很可能的,大概的
probe	n.探针,探测器;vt.(以探针等)探查,查明
procedure	n.程序,手续
proceed	vi.进行,继续下去,发生
proceeding	n.行动,进行,会议录,学报
process	n.过程,作用,方法,程序,步骤,进行,推移;vt.加工,处理
procession	n.行列,队伍
proclaim	vt.宣布,声明,显示,显露
product	n.产品,产物,乘积
productive	adj.生产性的,生产的,能产的,多产的
productivity	n.生产力
profess	v.表示
profession	n.职业,专业,表白,宣布
professional	n.自由职业者,专业人员,职业运动员,职业艺人;adj.专业的,职业的
proficiency	n.熟练,精通,熟练程度
profile	n.剖面,侧面,外形,轮廓
profit	n.利润,益处,得益;vi.得益,利用;vt.有益于,有利于
profitable	adj.有利可图的
profound	adj.深刻的,意义深远的,渊博的,造诣深的
progressive	n.改革论者,进步论者;adj.前进的,(税收)累进的,进步的
prohibit	vt.禁止,阻止
project	n.计划,方案,事业,企业,工程;v.设计,计划,投射,放映,射出,发射(导弹等),凸出
prolong	vt.延长,拖延
prominent	adj.卓越的,显著的,突出的
promising	adj.有希望的,有前途的
promote	vt.促进,发扬,提升,提拔,晋升为
prompt	n.提示,付款期限;vt.提示,鼓动,促使,(给演员)提白;adj.敏捷的,迅速的,即时的;adv.准时地;n.DOS命令:改变DOS系统提示符的风格
prone	adj.倾向于
pronoun	n.代名词
proof	n.证据,试验,考验,[印刷]校样;adj.不能透入的,证明用的,防...的,有耐力的;vt.检验,校对,使不被穿透
propaganda	n.宣传,[天主教]传道总会
propagate	v.繁殖,传播,宣传
propel	vt.推进,驱使
property	n.财产,所有物,所有权,性质,特性,(小)道具
prophet	n.先知,预言者,提倡者
proportion	n.比例,均衡,面积,部分;vt.使成比例,使均衡,分摊
proportional	adj.比例的,成比例的,相称的,均衡的
proposal	n.提议,建议
propose	vt.计划,建议,向...提议,求(婚);vi.打算,求婚
proposition	n.主张,建议,陈述,命题
prose	n.散文
prosecute	vt.实行,从事,告发,起诉;vi.告发,起诉,作检察官
prospect	n.景色,前景,前途,期望;vi.寻找,勘探
prospective	adj.预期的
prosperity	n.繁荣
prosperous	adj.繁荣的
protection	n.保护
protective	adj.给予保护的,保护的
protein	n.[生化]蛋白质;adj.蛋白质的
protest	n.主张,断言,抗议;v.主张,断言抗议,拒付
prototype	n.原型
prove	vt.证明,证实,检验,考验;vi.原来(是),证明(是)
provide	v.供应,供给,准备,预防,规定
provided	conj.倘若
province	n.省(一个国家的大行政区)
provision	n.供应,(一批)供应品,预备,防备,规定
provocative	adj.煽动的;n.刺激物
provoke	vt.激怒,挑拨,煽动,惹起,驱使
proximity	n.接近,亲近
prune	v.剪除
psychiatrist	n.精神病医师,精神病学家
psychological	adj.心理(上)的
publication	n.出版物,出版,发行,公布,发表
publicity	n.公开
publish	v.出版,刊印;vt.公布,发表
pudding	n.布丁(一种以面粉,牛奶,鸡蛋等为基料的糊壮甜食)
pulse	n.脉搏,脉冲
pump	n.泵,抽水机;vt.(用泵)抽(水),抽吸
pumpkin	n.南瓜
punch	n.冲压机,冲床,打孔机;vt.冲孔,打孔
punctual	adj.严守时刻的,准时的
purchase	vt.买,购买;n.买,购买
purify	vt.使纯净;v.净化
purity	n.纯净,纯洁,纯度
purple	adj.紫色的;n.紫色
purse	n.钱包
pursue	vt.追赶,追踪,追击,继续,从事
pursuit	n.追击
puzzle	n.难题,谜;v.(使)迷惑,(使)为难,迷惑不解
qualification	n.资格,条件,限制,限定,赋予资格
qualify	v.(使)具有资格,证明合格,限制修饰;vt.限制,限定
qualitative	adj.性质上的,定性的
quantify	vt.确定数量;v.量化
quantitative	adj.数量的,定量的
quart	n.夸脱(容量单位)
quarterly	n.季刊;adj.一年四次的,每季的;adv.每季地
quartz	n.石英
queer	n.同性恋者;adj.奇怪的,可疑的，不舒服的;vt.搞糟;
quench	vt.结束,熄灭，淬火;vi.熄灭,平息
quest	n.寻求
questionnaire	n.调查表,问卷
queue	n.行列,长队,队列;vi.排队,排队等待
quit	vi.离开,辞职,停止;vt.离开,放弃,解除,停止
quiver	n.震动,颤抖,箭袋,箭袋中的箭;vi.颤抖,振动,射中;vt.使颤动;adj.敏捷的
quiz	n.测验,提问,恶作剧;v.对...进行测验,盘问,挖苦
quota	n.配额,限额
quotation	n.引用语,价格,报价单,行情表
quote	vt.引用,引证,提供,提出,报(价)
racial	adj.人种的,种族的,种族间的
rack	n.架,行李架,拷问台,小步跑,烧酒,破坏;vt.放在架上,在架上制作,折磨,加以拷问,使痛苦,榨取;vi.在饲草架装满干草,变形,(云)随风飘,(马)小步跑
racket	n.球拍,喧闹纷乱;v.过着花天酒地的生活
radar	n.雷达,电波探测器
radiant	adj.发光的,辐射的,容光焕发的
radiate	vt.放射,辐射,传播,广播;vi.发光,辐射,流露;adj.有射线的,辐射状的
radiation	n.发散,发光,发热,辐射,放射,放射线,放射物
radical	adj.根本的,基本的,激进的;n.激进分子
radioactive	adj.放射性的,有辐射能的
radius	n.半径,范围,辐射光线,有效航程,范围,界限
rag	n.抹布,碎屑,石板瓦,破旧衣服,少量;vt.揶揄,戏弄,欺负;vi.喧闹
rage	n.愤怒,情绪激动,狂暴,精神错乱;vi.大怒,狂吹,风行
raid	n.袭击,搜捕;v.奇袭,搜捕
rail	n.横杆,围栏,扶手,铁轨;vt.以横木围栏,铺铁轨;vi.责骂,抱怨
railroad	n.铁路;vt.<美>由铁道运输
railway	n.[英]铁道,铁路
rainbow	n.彩虹,五彩缤纷的排列,幻想,幻觉,虚无缥缈的东西;adj.五彩缤纷的
rally	v.重整旗鼓,给予新力量,(使)恢复健康,力量,决心,集结;n.集会
random	n.随意,任意;adj.任意的,随便的,胡乱的;adv.胡乱地
range	n.山脉,行列,范围,射程;vt.排列,归类于,使并列,放牧;vi.平行,延伸,漫游
rank	n.等级,横列,阶级;adj.繁茂的,恶臭的,讨厌的,下流的;vt.排列,归类于,把...分等;vi.列为,列队;n.[数]秩
rap	n.叩击,轻拍,轻敲,斥责;vt.敲,拍,厉声说出,斥责,使着迷;vi.敲击,交谈;abbr.[军]RocketAssistedProjectile,火箭助推炮弹
rape	n.掠夺,强奸,葡萄渣,油菜;vt.掠夺,强奸
rare	adj.稀罕的,杰出的,珍贵的,(肉类)半熟的;adv.非常
rarely	adv.很少地,罕有地
rash	adj.轻率的,匆忙的,卤莽的;n.[医]皮疹
rat	n.老鼠
rate	n.比率,速度,等级,价格,费用;vt.估价,认为,鉴定等级,责骂;vi.被评价,责骂
rating	n.等级级别(尤指军阶),额定,责骂,申斥
ratio	n.比,比率,[财政]复本位制中金银的法定比价
rational	adj.理性的,合理的,推理的;n.[数]有理数
raw	n.生肉,擦伤处,身上的痛处;adj.未加工的,生疏的,处于自然状态的,不掺水的,擦掉皮的,阴冷的,刺痛的;vt.擦伤
react	vi.起反应,起作用,反抗,起反作用
reaction	n.反应,反作用,反动(力)
readily	adv.乐意地,欣然,容易地
realistic	adj.现实(主义)的
reality	n.真实,事实,本体,逼真
realm	n.领域
reap	v.收割,收获
rear	n.后面,背后,后方,屁股;adj.后面的,背面的,后方的;vt.培养,饲养,举起,树立,栽种;vi.高耸,暴跳,用后腿站起
reasonable	adj.合理的,有道理的,通情达理的,讲道理的
reassure	vt.使...安心,再保证,使...恢复信心,打消...的疑虑
rebel	n.造反者,叛逆者,反抗者,叛乱者;adj.造反的,叛逆的,反抗的;v.造反,反叛,反抗,叛乱
rebellion	n.谋反,叛乱,反抗,不服从
recall	vt.回忆,回想,记起,取消;n.召回
recede	v.后退
receipt	n.收条,收据,收到;v.收到
receiver	n.接受者,接收器,收信机
recently	adv.最近
reception	n.接待,招待会,接收
recession	n.撤回,退回,退后,工商业之衰退,不景气
recipe	n.处方
recipient	adj.容易接受的,感受性强的;n.容纳者,容器
reciprocal	adj.互惠的,相应的,倒数的,彼此相反的;n.倒数,互相起作用的事物
recite	v.背诵,朗读,叙述,[律]书面陈述(事实)
reckless	adj.不计后果的
reckon	vt.计算,总计,估计,猜想;vi.数,计算,估计,依赖,料想
reclaim	vt.要求归还,收回,开垦
recognition	n.赞誉,承认,重视,公认,赏识,识别
recognize	vt.认可,承认,公认,赏识;vi.具结
recommend	vt.推荐,介绍,劝告,使受欢迎,托付,使...受欢迎,使...可取
recommendation	n.推荐,介绍(信),劝告,建议
reconcile	vt.使和解,使和谐,使顺从
reconciliation	n.和解,调和,顺从
recorder	n.记录员,录音[像]机;n.[计]宏录制器,记录器
recover	vt.重新获得,恢复,使改过;vi.痊愈,复原,胜诉;n.DOS命令:从含有损坏磁盘扇区的磁盘上恢复文件
recovery	n.恢复,痊愈,防御
recreation	n.消遣,娱乐
recruit	n.新兵,新分子,新会员;vt.使恢复,补充,征募;vi.征募新兵,复原
rectangular	adj.矩形的,成直角的
rectify	vt.矫正,调整,[化]精馏
recur	vi.复发,重现,再来
recycle	v.使再循环,反复应用;n.再循环,再生,重复利用
reduction	n.减少,缩影,变形,缩减量,约简
redundant	adj.多余的
reel	n.(棉纱,电线的)卷轴,(磁带等的)一盘,旋转,蹒跚;vt.卷...于轴上,使旋转;vi.蹒跚地走,旋转,眩晕,骚乱,退缩,摇晃
referee	n.仲裁人,调解人,[体]裁判员;v.仲裁,裁判
reference	n.提及,涉及,参考,参考书目,证明书(人),介绍信(人)
refine	vt.精炼,精制,使文雅高尚
reflect	v.反射,反映,表现,反省,细想
reflection	n.反射,映象,倒影,反省,沉思,反映
reflexion	n.<主英>（=reflection）反射,反射光
reform	n.改革,改善,改良运动,感化;vt.改革,革新,重新组成;vi.革新,改过,重组
refrain	n.重复,叠句,[乐]副歌;vi.节制,避免,制止
refresh	v.(使)精神振作,(使)精力恢复,更新
refreshment	n.点心,饮料,精力恢复,爽快
refrigerator	n.电冰箱,冷藏库
refuge	n.庇护,避难,避难所
refugee	n.难民,流亡者
refund	v.退还,偿还;n.归还,偿还额,退款
refusal	n.拒绝,推却,优先取舍权,优先取舍的机会
refute	vt.驳倒,反驳
regarding	prep.关于
regardless	adj.不管,不顾,不注意
regime	n.政体,政权,政权制度
region	n.区域,地方,(世界上某个特定的)地区,(艺术,科学等的)领域,(大气,海水等的)层
register	n.记录,登记簿,登记,注册,寄存器;vt.记录,登记,注册,提示,把...挂号;vi.登记,注册,挂号
regulate	vt.管制,控制,调节,校准
regulation	n.规则,规章,调节,校准
rehearsal	n.排演,演习,预演,试演
reign	vi.统治,支配,盛行,占优势;n.统治,统治时期,支配
rein	n.缰绳,统治,支配;vt.以缰绳控制,统治,驾驭;vi.勒住马,止住
reinforce	vt.加强,增援,补充,增加...的数量,修补,加固;vi.求援,得到增援;n.加固物
reject	n.被拒之人,被弃之物,不合格品,落选者,不及格者;vt.拒绝,抵制,否决,呕出,驳回,丢弃
rejoice	v.(使)欣喜,(使)高兴,喜悦
relate	vt.叙述,讲,使联系,发生关系
relationship	n.关系,关联
relative	n.亲戚,关系词,相关物,亲缘植物;adj.有关系的,相对的,比较而言的
relativity	n.相对性,相关性,[物]相对论
relax	vi.放松,休息,休养,变从容;vt.使松驰,缓和,使松懈,使休息
relay	n.驿马,接替,[电工]继电器;vt.(消息,货物等)分程传递,使接替,转播;vi.得到接替,转播
release	n.释放,让渡,豁免,发行的书,释放证书;vt.释放,解放,放弃,让与,免除,发表;n.版本,发布
relevant	adj.有关的,相应的
reliable	adj.可靠的,可信赖的
reliance	n.信任,信心,依靠,依靠的人或物
relief	n.(痛苦等的)减轻,(债务等的)免除,救济,调剂,安慰,浮雕,地貌
relieve	vt.减轻,解除,援救,救济,换班
religion	n.宗教,信仰
religious	adj.信奉宗教的,虔诚的,宗教上的,修道的,严谨的;n.僧侣,尼姑,修道士
relish	n.意味
reluctant	adj.不顾的,勉强的,难得到的,难处理的
rely	v.依赖,依靠,信赖,信任,依赖于
remain	vi.保持,逗留,剩余,残存
remainder	n.残余,剩余物,其他的人,[数]余数;v.廉价出售;adj.剩余的,出售剩书的
remark	n.备注,评论,注意,注释;vt.评论,注意,谈及;vi.谈论
remarkable	adj.不平常的,非凡的,值得注意的,显著的
remedy	n.药物,治疗法,补救,赔偿;vt.治疗,补救,矫正,修缮,修补
remind	vt.提醒,使想起
remnant	n.残余,剩余,零料,残迹;adj.剩余的,残留的
remote	adj.遥远的,偏僻的,细微的
removal	n.移动,免职,切除
renaissance	n.复兴,复活,新生,文艺复兴,文艺复兴时期
render	vt.呈递,归还,着色,汇报,致使,放弃,表演,实施;vi.给予补偿;n.交纳,粉刷,打底
renew	vt.使更新,使恢复,重申,补充,续借,复兴;vi.更新,重新开始
rent	v.租,租借,出租;n.租金
repay	v.偿还,报答,报复
repeatedly	adv.重复地,再三地
repel	vt.击退,抵制,使厌恶,使不愉快
repertoire	n.(准备好演出的)节目,保留剧目,(计算机的)指令表,指令系统,<美>(某个人的)全部技能
repetition	n.重复,循环,复制品,副本
replace	vt.取代,替换,代替,把...放回原处
replacement	n.归还,复位,交换,代替者,补充兵员,置换,移位
reporter	n.记者,通讯员
represent	vt.表现,描绘,声称,象征,扮演,回忆,再赠送,再上演;vi.提出异议
representative	n.代表;adj.典型的,有代表性的
repression	n.镇压,抑制,抑压
reproach	v.责备
reproduce	v.繁殖,再生,复制,使...在脑海中重现
republican	adj.共和国的,共和政体的,共和主义的,有关共和的;n.共和党人
reputation	n.名誉,名声
require	vt.需要,要求,命令
requirement	n.需求,要求,必要条件,需要的东西,要求必备的条件
rescue	vt.援救,营救;n.援救,营救
resemblance	n.类同之处
resemble	vt.象,类似
resent	v.愤恨,怨恨
reservation	n.保留,(旅馆房间等)预定,预约
reserve	n.储备(物),储藏量,预备队;vt.储备,保存,保留,预定,预约
reservior	n.贮水池,贮藏处,贮备
reside	vi.居住
residence	n.居住,住处
resident	n.居民;adj.居住的,常驻的
residential	adj.住宅的,与居住有关的
resign	n.辞去(职务);v.辞去,辞职
resist	vt.抵抗,反抗,抗,忍得住
resistance	n.反抗,抵抗,抵抗力,阻力,电阻,阻抗
resistant	adj.抵抗的,有抵抗力的
resolution	n.坚定,决心,决定,决议
resolve	n.决心;v.决心,决定,决心要,(使)分解,溶解,解决;vt.解决
resort	vi.求助,诉诸,采取(某种手段等),常去;n.凭借,手段,常去之地,胜地
resource	n.资源,财力,办法,智谋
respect	n.尊敬,敬重,注意,考虑,尊重,关系,有关,敬意;vt.尊敬,尊重,不防碍
respective	adj.分别的,各自的
respectively	adv.分别地,各个地
respond	v.回答,响应,作出反应;vi.有反应
response	n.回答,响应,反应
responsibility	n.责任,职责
responsible	adj.有责任的,可靠的,可依赖的,负责的
restless	adj.得不到休息的,不平静的,不安宁的
restore	vt.恢复,使回复,归还,交还,修复,重建
restrain	vt.抑制,制止
restraint	n.抑制,制止,克制
restrict	vt.限制,约束,限定
result	n.结果,成效,计算结果;vi.起因,由于,以...为结果,导致
resultant	adj.作为结果而发生的,合成的
resume	n.摘要,概略,<美>履历;vt.再继续,重新开始,重新占用,再用,恢复
retain	vt.保持,保留
retention	保持力
retire	vi.退休,引退,退却,撤退,就寝
retort	v.反驳,反击,回报;n.曲颈甑,曲颈瓶,蒸器
retreat	vi.撤退,退却;n.撤退,退却
retrieve	v.重新得到;n.找回
retrospect	n.回顾
reunion	n.团圆,重聚
reveal	vt.展现,显示,揭示,暴露
revelation	n.显示,揭露,被揭露的事,新发现,启示,揭示
revenge	n.报仇,复仇;vt.替...报仇,复仇
revenue	n.收入,国家的收入,税收
reverse	n.相反,背面,反面,倒退;adj.相反的,倒转的,颠倒的;vt.颠倒,倒转
revise	vt.修订,校订,修正,修改
revive	v.(使)苏醒,(使)复兴,(使)复活,(使)再生效,回想
revolt	v.反抗,起义,反叛,反感,厌恶
revolutionary	adj.革命的
revolve	v.(使)旋转,考虑,循环出现
reward	n.报酬,奖金;vt.酬劳,奖赏
rhythm	n.节奏,韵律
rib	n.肋骨
ribbon	n.缎带,丝带,带,带状物,带子
rid	vt.使摆脱,使去掉
ridge	n.背脊,山脊,屋脊,山脉,犁垄;v.起皱,成脊状延伸,翻土作垄
ridiculous	adj.荒谬的,可笑的
rifle	n.来复枪,步枪,来复线,膛线;vt.用步枪射击,抢夺;vi.掠夺
rig	n.索具装备,钻探设备,钻探平台,钻塔;v.装上索具,配备,装配
rigid	adj.刚硬的,刚性的,严格的
rigorous	adj.严格的,严厉的,严酷的,严峻的
rim	n.边,轮缘,蓝框;vt.镶边,为...装边,沿...边缘滚动;vi.形成边状
riot	n.暴乱,骚动,(植物,疾病等)蔓延,放荡,暴动;v.骚乱,放纵,挥霍,参加骚动
rip	v.撕,剥,劈,锯,裂开,撕裂;n.裂口,裂缝
ripe	adj.熟的,成熟的,时机成熟的;v.成熟
risk	vt.冒...的危险;n.冒险,风险
ritual	n.典礼,(宗教)仪式,礼节;adj.典礼的,(宗教)仪式的
rival	n.竞争者,对手;v.竞争,对抗,相匹敌
rivalry	n.竞争,竞赛,敌对,敌对状态
roar	n.吼叫,怒号;vi.吼叫,怒号;v.滚动,咆哮
roast	v.烤,烘,烘烤,暴露于某种热力下以得温暖
rob	v.抢夺,抢掠,剥夺
robust	adj.精力充沛的
rocket	n.火箭;v.飞速上升
rod	n.杆,棒
roller	n.滚筒,辊子
romance	n.冒险故事,浪漫史,传奇文学,风流韵事,虚构;vi.写传奇,渲染,虚构
romantic	adj.传奇式的,浪漫的,空想的,夸大的
rope	n.绳,索,绳索;v.围起
rot	v.(使)腐烂,(使)腐败;n.腐烂,腐败
rotary	adj.旋转的
rotate	v.(使)旋转
rotten	adj.腐烂的,恶臭的,堕落的,(岩石等)风化的,虚弱的,无用的
rouse	v.唤醒,激起,使振奋,惊起;n.觉醒,奋起
